time,open,high,low,close,Volume
2024-06-18T16:00:00+08:00,19920.170000000002,19966.050000000003,19919.420000000002,19951.550000000003,31011
2024-06-18T18:00:00+08:00,19951.550000000003,19960.420000000002,19925.550000000003,19937.670000000002,24486
2024-06-18T20:00:00+08:00,19937.670000000002,19980.870000000003,19877.45,19892.7,131778
2024-06-18T22:00:00+08:00,19892.7,19926.45,19839.82,19899.32,174141
2024-06-19T00:00:00+08:00,19899.32,19941.07,19881.32,19914.82,99443
2024-06-19T02:00:00+08:00,19914.82,19920.95,19872.95,19911.45,129080
2024-06-19T04:00:00+08:00,19911.45,19922.120000000003,19903.050000000003,19922,12737
2024-06-19T06:00:00+08:00,19922,19946.010000000002,19917.460000000003,19936.140000000003,6734
2024-06-19T08:00:00+08:00,19936.140000000003,19937.010000000002,19921.510000000002,19929.260000000002,9762
2024-06-19T10:00:00+08:00,19929.260000000002,19942.140000000003,19927.890000000003,19934.640000000003,6209
2024-06-19T12:00:00+08:00,19934.640000000003,19940.390000000003,19928.510000000002,19936.510000000002,6239
2024-06-19T14:00:00+08:00,19936.510000000002,19953.140000000003,19932.510000000002,19947.140000000003,17675
2024-06-19T16:00:00+08:00,19947.140000000003,19951.510000000002,19936.140000000003,19949.260000000002,15487
2024-06-19T18:00:00+08:00,19949.260000000002,19958.640000000003,19944.390000000003,19950.140000000003,10778
2024-06-19T20:00:00+08:00,19950.140000000003,19967.41,19945.260000000002,19953.66,17866
2024-06-19T22:00:00+08:00,19953.66,19961.79,19937.66,19958.66,17077
2024-06-20T00:00:00+08:00,19958.66,19958.66,19942.91,19943.710000000003,5666
2024-06-20T06:00:00+08:00,19943.710000000003,19956.91,19943.710000000003,19952.960000000003,6303
2024-06-20T08:00:00+08:00,19952.960000000003,19983.710000000003,19951.710000000003,19977.710000000003,12523
2024-06-20T10:00:00+08:00,19977.710000000003,20011.960000000003,19971.59,20007.34,10980
2024-06-20T12:00:00+08:00,20007.34,20050.960000000003,20000.84,20045.84,18554
2024-06-20T14:00:00+08:00,20045.84,20088.59,20021.710000000003,20057.210000000003,28782
2024-06-20T16:00:00+08:00,20057.210000000003,20057.960000000003,20022.460000000003,20037.210000000003,27737
2024-06-20T18:00:00+08:00,20037.210000000003,20051.34,20008.84,20014.460000000003,23902
2024-06-20T20:00:00+08:00,20014.460000000003,20022.91,19918.74,19955.61,133117
2024-06-20T22:00:00+08:00,19955.61,19961.49,19841.11,19887.11,196707
2024-06-21T00:00:00+08:00,19887.11,19901.11,19687.61,19760.74,245315
2024-06-21T02:00:00+08:00,19760.74,19806.61,19689.86,19760.99,209978
2024-06-21T04:00:00+08:00,19760.99,19780.09,19752.34,19778.530000000002,11048
2024-06-21T06:00:00+08:00,19778.530000000002,19844.640000000003,19778.530000000002,19837.890000000003,8583
2024-06-21T08:00:00+08:00,19837.890000000003,19839.77,19800.890000000003,19813.52,19310
2024-06-21T10:00:00+08:00,19813.52,19831.27,19806.390000000003,19821.890000000003,10891
2024-06-21T12:00:00+08:00,19821.890000000003,19845.390000000003,19818.27,19841.890000000003,9196
2024-06-21T14:00:00+08:00,19841.890000000003,19853.77,19772.52,19796.640000000003,27725
2024-06-21T16:00:00+08:00,19796.640000000003,19804.77,19716.140000000003,19776.390000000003,39622
